Year,CO2 emissions (Pg/yr),CO2 concentrations (ppm),Temperature,Emissions path
1750,0.002550273,276.8,nan,Historical
1751,0.002550273,276.8,nan,Historical
1752,0.002551091,276.76,nan,Historical
1753,0.002551091,276.74,nan,Historical
1754,0.002552182,276.72,nan,Historical
1755,0.002553273,276.7,nan,Historical
1756,0.002728909,276.66,nan,Historical
1757,0.00273,276.62,nan,Historical
1758,0.002731091,276.58,nan,Historical
1759,0.002731909,276.54,nan,Historical
1760,0.002731909,276.5,nan,Historical
1761,0.002992909,276.52,nan,Historical
1762,0.002993727,276.54,nan,Historical
1763,0.002994818,276.56,nan,Historical
1764,0.002995909,276.58,nan,Historical
1765,0.002996727,276.6,nan,Historical
1766,0.003343636,276.74,nan,Historical
1767,0.003344455,276.88,nan,Historical
1768,0.003345545,277.02,nan,Historical
1769,0.003346636,277.16,nan,Historical
1770,0.003347455,277.3,nan,Historical
1771,0.003712364,277.44,nan,Historical
1772,0.003713182,277.58,nan,Historical
1773,0.003714273,277.72,nan,Historical
1774,0.003715364,277.86,nan,Historical
1775,0.003716182,278,nan,Historical
1776,0.004101,278.04,nan,Historical
1777,0.004102091,278.08,nan,Historical
1778,0.004102909,278.12,nan,Historical
1779,0.004104,278.16,nan,Historical
1780,0.004105909,278.2,nan,Historical
1781,0.004593545,278.28,nan,Historical
1782,0.004594636,278.36,nan,Historical
1783,0.004596545,278.44,nan,Historical
1784,0.004597636,278.52,nan,Historical
1785,0.004600636,278.6,nan,Historical
1786,0.005223273,278.88,nan,Historical
1787,0.005225182,279.16,nan,Historical
1788,0.005226273,279.44,nan,Historical
1789,0.005228182,279.72,nan,Historical
1790,0.005230091,280,nan,Historical
1791,0.005841818,280.28,nan,Historical
1792,0.005971636,280.56,nan,Historical
1793,0.005976545,280.84,nan,Historical
1794,0.005967545,281.12,nan,Historical
1795,0.005970545,281.4,nan,Historical
1796,0.006259364,281.64,nan,Historical
1797,0.006571091,281.88,nan,Historical
1798,0.006844091,282.12,nan,Historical
1799,0.007207636,282.36,nan,Historical
1800,0.007661455,282.6,nan,Historical
1801,0.007625455,282.8,nan,Historical
1802,0.010031727,283,nan,Historical
1803,0.008587636,283.2,nan,Historical
1804,0.009357273,283.4,nan,Historical
1805,0.009114273,283.6,nan,Historical
1806,0.009558,283.72,nan,Historical
1807,0.010056545,283.84,nan,Historical
1808,0.009562909,283.96,nan,Historical
1809,0.00957,284.08,nan,Historical
1810,0.010194545,284.2,nan,Historical
1811,0.010795091,284.16,nan,Historical
1812,0.011183727,284.12,nan,Historical
1813,0.011241818,284.08,nan,Historical
1814,0.011489727,284.04,nan,Historical
1815,0.011860364,284,nan,Historical
1816,0.012999545,283.86,nan,Historical
1817,0.013481182,283.72,nan,Historical
1818,0.013539273,283.58,nan,Historical
1819,0.013622182,283.44,nan,Historical
1820,0.013824,283.3,nan,Historical
1821,0.014027727,283.26,nan,Historical
1822,0.014581364,283.22,nan,Historical
1823,0.015422727,283.18,nan,Historical
1824,0.015961364,283.14,nan,Historical
1825,0.016569818,283.1,nan,Historical
1826,0.016750909,283.24,nan,Historical
1827,0.017976818,283.38,nan,Historical
1828,0.018173727,283.52,nan,Historical
1829,0.018107727,283.66,nan,Historical
1830,0.024306273,283.8,nan,Historical
1831,0.023053091,283.82,nan,Historical
1832,0.023212091,283.84,nan,Historical
1833,0.023674636,283.86,nan,Historical
1834,0.024132545,283.88,nan,Historical
1835,0.024667091,283.9,nan,Historical
1836,0.028575273,283.94,nan,Historical
1837,0.028552091,283.98,nan,Historical
1838,0.029466545,284.02,nan,Historical
1839,0.030439909,284.06,nan,Historical
1840,0.032435455,284.1,nan,Historical
1841,0.033441545,284.44,nan,Historical
1842,0.035319273,284.78,nan,Historical
1843,0.036232636,285.12,nan,Historical
1844,0.038569909,285.46,nan,Historical
1845,0.042330273,285.8,nan,Historical
1846,0.043034727,286,nan,Historical
1847,0.047018727,286.2,nan,Historical
1848,0.047404364,286.4,nan,Historical
1849,0.050048455,286.6,nan,Historical
1850,0.053698909,286.8,nan,Historical
1851,0.054219545,286.72,nan,Historical
1852,0.056604818,286.64,nan,Historical
1853,0.059238818,286.56,nan,Historical
1854,0.069583364,286.48,nan,Historical
1855,0.070954364,286.4,nan,Historical
1856,0.075625091,286.34,nan,Historical
1857,0.076333364,286.28,nan,Historical
1858,0.077501455,286.22,nan,Historical
1859,0.082176273,286.16,nan,Historical
1860,0.090175091,286.1,nan,Historical
1861,0.094836818,286.14,nan,Historical
1862,0.096561273,286.18,nan,Historical
1863,0.103052727,286.22,nan,Historical
1864,0.111024818,286.26,nan,Historical
1865,0.117902182,286.3,nan,Historical
1866,0.121628455,286.64,nan,Historical
1867,0.130313182,286.98,nan,Historical
1868,0.133841455,287.32,nan,Historical
1869,0.142126636,287.66,nan,Historical
1870,0.145237364,288,nan,Historical
1871,0.154402636,288.28,nan,Historical
1872,0.170828727,288.56,nan,Historical
1873,0.181477909,288.84,nan,Historical
1874,0.169908273,289.12,nan,Historical
1875,0.184308818,289.4,nan,Historical
1876,0.186969,289.48,nan,Historical
1877,0.190663364,289.56,nan,Historical
1878,0.192104455,289.64,nan,Historical
1879,0.205873636,289.72,nan,Historical
1880,0.232829455,289.8,0.0355,Historical
1881,0.240656727,290.02,0.0655,Historical
1882,0.254161364,290.24,0.0555,Historical
1883,0.270282545,290.46,-0.0345,Historical
1884,0.273321545,290.68,-0.1145,Historical
1885,0.275365909,290.9,-0.1045,Historical
1886,0.279676364,291.34,-0.0945,Historical
1887,0.293662364,291.78,-0.1345,Historical
1888,0.325166455,292.22,0.0155,Historical
1889,0.325037727,292.66,0.0555,Historical
1890,0.354126818,293.1,-0.2045,Historical
1891,0.370603909,293.56,-0.1145,Historical
1892,0.373659545,294.02,-0.1645,Historical
1893,0.369184364,294.48,-0.1845,Historical
1894,0.382054364,294.94,-0.1645,Historical
1895,0.405077182,295.4,-0.0945,Historical
1896,0.418285364,295.56,0.0555,Historical
1897,0.438085364,295.72,0.0455,Historical
1898,0.462076364,295.88,-0.1245,Historical
1899,0.504793364,296.04,-0.0045,Historical
1900,0.532803818,296.2,0.0755,Historical
1901,0.550478455,296.44,-0.0045,Historical
1902,0.564530727,296.68,-0.1045,Historical
1903,0.615985364,296.92,-0.2145,Historical
1904,0.622570636,297.16,-0.3045,Historical
1905,0.663039545,297.4,-0.1245,Historical
1906,0.696604091,297.78,-0.0545,Historical
1907,0.787590818,298.16,-0.2345,Historical
1908,0.757987636,298.54,-0.2745,Historical
1909,0.788360182,298.92,-0.2845,Historical
1910,0.826951636,299.3,-0.2445,Historical
1911,0.841981091,299.66,-0.2845,Historical
1912,0.881837182,300.02,-0.1845,Historical
1913,0.954072545,300.38,-0.1645,Historical
1914,0.865635273,300.74,0.0155,Historical
1915,0.853742455,301.1,0.0655,Historical
1916,0.921453273,301.54,-0.1645,Historical
1917,0.963697091,301.98,-0.2345,Historical
1918,0.950027727,302.42,-0.1445,Historical
1919,0.823614818,302.86,-0.0845,Historical
1920,0.958198636,303.3,-0.0745,Historical
1921,0.840851727,303.58,-0.0045,Historical
1922,0.882063,303.86,-0.0845,Historical
1923,1.001074091,304.14,-0.0945,Historical
1924,1.004450727,304.42,-0.0845,Historical
1925,1.011764727,304.7,-0.0245,Historical
1926,0.993327273,305.08,0.0855,Historical
1927,1.085011091,305.46,-0.0145,Historical
1928,1.079905364,305.84,-0.0245,Historical
1929,1.159688182,306.22,-0.1745,Historical
1930,1.068927,306.6,0.0455,Historical
1931,0.955358727,306.96,0.0955,Historical
1932,0.861230455,307.32,0.0255,Historical
1933,0.906810545,307.68,-0.1045,Historical
1934,0.986267727,308.04,0.0455,Historical
1935,1.034851909,308.4,-0.0045,Historical
1936,1.136878364,308.8,0.0355,Historical
1937,1.215451364,309.2,0.1455,Historical
1938,1.143694364,309.6,0.1355,Historical
1939,1.209761727,310,0.1655,Historical
1940,1.321932,310.4,0.3155,Historical
1941,1.351493455,310.5,0.4255,Historical
1942,1.346088818,310.6,0.2655,Historical
1943,1.368781364,310.7,0.2655,Historical
1944,1.391192727,310.8,0.4355,Historical
1945,1.156589727,310.9,0.3355,Historical
1946,1.262638091,310.96,0.1455,Historical
1947,1.397971091,311.02,0.1155,Historical
1948,1.471773545,311.08,0.1055,Historical
1949,1.428893455,311.14,0.0755,Historical
1950,1.635913636,311.2,0.0055,Historical
1951,1.738305,311.64,0.1555,Historical
1952,1.761862636,312.08,0.1955,Historical
1953,1.811395909,312.52,0.2855,Historical
1954,1.850439273,312.96,0.0555,Historical
1955,2.028283091,313.4,0.0255,Historical
1956,2.15943,314,-0.0245,Historical
1957,2.230729091,314.6,0.2255,Historical
1958,2.294212636,315.3,0.2855,Historical
1959,2.413229727,315.98,0.2355,Historical
1960,2.545880182,316.91,0.2055,Historical
1961,2.551637182,317.64,0.2455,Historical
1962,2.642047909,318.45,0.2655,Historical
1963,2.791644818,318.99,0.2755,Historical
1964,2.937166091,319.62,0.0155,Historical
1965,3.073442455,320.04,0.0855,Historical
1966,3.216501273,321.37,0.1455,Historical
1967,3.319499182,322.18,0.1555,Historical
1968,3.500726182,323.05,0.1255,Historical
1969,3.734138727,324.62,0.2655,Historical
1970,4.043689909,325.68,0.2155,Historical
1971,4.207044818,326.32,0.0855,Historical
1972,4.402528636,327.46,0.1955,Historical
1973,4.636558091,329.68,0.3455,Historical
1974,4.616146909,330.19,0.0955,Historical
1975,4.609901727,331.12,0.1655,Historical
1976,4.85448,332.03,0.0855,Historical
1977,4.987618909,333.84,0.3655,Historical
1978,5.170590545,335.41,0.2755,Historical
1979,5.308428545,336.84,0.3855,Historical
1980,5.282577818,338.76,0.4355,Historical
1981,5.138554636,340.12,0.4755,Historical
1982,5.100263182,341.48,0.3455,Historical
1983,5.148075,343.15,0.5155,Historical
1984,5.298063818,344.85,0.3255,Historical
1985,5.486406545,346.35,0.3155,Historical
1986,5.564098636,347.61,0.3955,Historical
1987,5.744373818,349.31,0.5355,Historical
1988,5.963446636,351.69,0.5455,Historical
1989,6.052735091,353.2,0.4455,Historical
1990,6.190257818,354.45,0.6055,Historical
1991,6.318962455,355.7,0.5455,Historical
1992,6.121350273,356.54,0.3955,Historical
1993,6.186164455,357.21,0.4355,Historical
1994,6.230124,358.96,0.4955,Historical
1995,6.363316091,360.97,0.6255,Historical
1996,6.559321091,362.74,0.4755,Historical
1997,6.597585818,363.88,0.6655,Historical
1998,6.576032455,366.84,0.8055,Historical
1999,6.663013909,368.54,0.5955,Historical
2000,6.850647818,369.71,0.5755,Historical
2001,6.908782636,371.32,0.7255,Historical
2002,7.066687091,373.45,0.7755,Historical
2003,7.411686545,375.98,0.7955,Historical
2004,7.764668455,377.7,0.7355,Historical
2005,8.021151545,379.98,0.8255,Historical
2006,8.283969273,382.09,0.7955,Historical
2007,8.534689636,384.03,0.7755,Historical
2008,8.712554727,385.83,0.6955,Historical
2009,8.581145455,387.64,0.7955,Historical
2010,9.035975727,390.1,0.8755,Historical
2011,9.329886273,391.85,0.7255,Historical
2012,9.480002182,394.06,0.7955,Historical
2013,9.541981091,396.74,0.8355,Historical
2014,9.612236727,398.87,0.8955,Historical
2015,9.602576455,401.01,1.0855,Historical
2016,9.605566909,404.41,1.1555,Historical
2017,9.735367909,406.76,1.0655,Historical
2018,9.932648727,408.72,0.9855,Historical
2018,9.932648727,408.72,0.9855,Low
2020,9,412.1,1.15,Low
2030,7.21,430.8,1.34,Low
2040,4.79,440.2,1.48,Low
2050,3.21,442.7,1.54,Low
2060,1.55,441.7,1.53,Low
2070,0.26,437.5,1.49,Low
2080,-0.39,431.6,1.54,Low
2090,-0.81,426,1.54,Low
2100,-0.92,420.9,nan,Low
2018,9.932648727,408.72,0.9855,Medium low
2020,9.79,411.1,1.19,Medium low
2030,10.83,435,1.42,Medium low
2040,11.25,460.8,1.64,Medium low
2050,10.91,486.5,1.84,Medium low
2060,9.42,508.9,2.04,Medium low
2070,7.17,524.3,2.14,Medium low
2080,4.62,531.1,2.22,Medium low
2090,4.19,533.7,2.28,Medium low
2100,4.09,538.4,nan,Medium low
2018,9.932648727,408.72,0.9855,Medium high
2020,8.99,409.4,1.15,Medium high
2030,9.99,428.9,1.34,Medium high
2040,11.47,450.7,1.55,Medium high
2050,13,477.7,1.75,Medium high
2060,14.73,510.6,1.92,Medium high
2070,16.33,549.8,2.18,Medium high
2080,16.87,594.3,2.41,Medium high
2090,14.7,635.6,2.63,Medium high
2100,13.63,669.7,nan,Medium high
2018,9.932648727,408.72,0.9855,High
2020,11.38,415.8,1.26,High
2030,13.79,448.8,1.54,High
2040,16.69,489.4,1.89,High
2050,20.03,540.5,2.3,High
2060,23.32,603.5,2.76,High
2070,25.75,677.1,3.2,High
2080,27.28,758.2,3.65,High
2090,28.24,844.8,4.17,High
2100,28.68,935.9,nan,High